account_no,amount,location,transaction_count,transaction_type,device_type,is_new_location,is_fraud
ACC1172,605426,Islamabad,21,Transfer,Desktop,1,1
ACC5047,435758,Islamabad,32,Withdrawal,Desktop,0,1
ACC3871,49726,Lahore,8,Transfer,Desktop,0,0
ACC8377,184555,Islamabad,8,Deposit,ATM,0,0
ACC2949,109425,Peshawar,9,Payment,Mobile,0,0
ACC6047,527748,Lahore,38,Withdrawal,POS,1,1
ACC3140,608356,Peshawar,29,Payment,ATM,1,1
ACC3219,135924,Karachi,7,Transfer,Mobile,0,0
ACC6596,42263,Islamabad,1,Payment,Mobile,0,0
ACC9507,161560,Karachi,8,Withdrawal,Desktop,0,0
ACC4990,169010,Peshawar,2,Withdrawal,Desktop,0,0
ACC3932,55908,Peshawar,2,Transfer,POS,0,0
ACC1131,28427,Peshawar,2,Payment,POS,0,0
ACC7436,12632,Islamabad,6,Withdrawal,Desktop,0,0
ACC2144,35301,Quetta,1,Deposit,Mobile,0,0
ACC3379,649489,Karachi,48,Withdrawal,Desktop,1,1
ACC9008,31466,Peshawar,7,Deposit,ATM,0,0
ACC2445,198182,Peshawar,4,Deposit,POS,0,0
ACC8546,921353,Karachi,20,Transfer,ATM,1,1
ACC3675,335394,Peshawar,38,Withdrawal,Desktop,0,1
ACC9011,7540,Karachi,9,Payment,Mobile,0,0
ACC8762,33097,Peshawar,1,Deposit,ATM,0,0
ACC3979,109075,Islamabad,9,Deposit,Desktop,0,0
ACC2854,78994,Quetta,9,Withdrawal,Mobile,0,0
ACC2355,94956,Lahore,3,Deposit,Desktop,0,0
ACC4008,142863,Karachi,1,Deposit,Desktop,0,0
ACC7867,30149,Karachi,6,Transfer,Mobile,1,0
ACC8217,157996,Lahore,8,Transfer,Desktop,0,0
ACC2234,123711,Quetta,4,Transfer,POS,0,0
ACC1179,501986,Islamabad,12,Transfer,ATM,0,1
ACC9609,815701,Lahore,49,Transfer,Desktop,1,1
ACC3228,37785,Quetta,5,Payment,POS,0,0
ACC9339,63601,Quetta,3,Deposit,POS,0,0
ACC6063,38383,Peshawar,4,Transfer,Desktop,0,0
ACC5872,24668,Islamabad,7,Withdrawal,Desktop,0,0
ACC4510,104142,Islamabad,5,Deposit,POS,0,0
ACC2939,85241,Karachi,7,Withdrawal,Desktop,0,0
ACC1933,554559,Quetta,42,Withdrawal,POS,1,1
ACC2451,122152,Islamabad,3,Deposit,ATM,0,0
ACC6667,183434,Karachi,3,Withdrawal,POS,0,0
ACC6212,74300,Quetta,1,Transfer,ATM,0,0
ACC8647,118577,Lahore,9,Withdrawal,POS,0,0
ACC7629,85076,Karachi,5,Payment,Desktop,0,0
ACC5852,44032,Peshawar,7,Transfer,Mobile,1,0
ACC5703,101525,Lahore,8,Transfer,Desktop,0,0
ACC5004,87032,Quetta,4,Transfer,ATM,0,0
ACC9536,88415,Lahore,6,Withdrawal,POS,0,0
ACC9644,54238,Islamabad,2,Deposit,Desktop,0,0
ACC2457,185643,Quetta,8,Transfer,Mobile,0,0
ACC2756,166640,Lahore,8,Deposit,Mobile,0,0
ACC8672,136118,Quetta,4,Payment,ATM,0,0
ACC2556,113063,Islamabad,7,Payment,ATM,0,0
ACC4365,15572,Lahore,4,Transfer,Desktop,0,0
ACC8126,90791,Quetta,8,Deposit,POS,0,0
ACC9424,188129,Islamabad,8,Payment,POS,0,0
ACC5793,128667,Karachi,9,Payment,Desktop,0,0
ACC6869,602763,Peshawar,46,Transfer,Desktop,1,1
ACC3019,143786,Islamabad,4,Deposit,Desktop,0,0
ACC9787,161440,Quetta,1,Payment,ATM,1,0
ACC2633,80806,Lahore,3,Payment,Mobile,0,0
ACC6012,38008,Quetta,3,Deposit,ATM,0,0
ACC5631,177597,Islamabad,4,Withdrawal,POS,0,0
ACC4367,50919,Quetta,4,Payment,Desktop,0,0
ACC7818,400741,Lahore,16,Withdrawal,ATM,1,1
ACC7435,95635,Peshawar,1,Payment,Mobile,0,0
ACC7752,169385,Quetta,1,Withdrawal,POS,1,0
ACC4362,16669,Quetta,4,Payment,ATM,1,0
ACC7027,176002,Peshawar,5,Withdrawal,Mobile,0,0
ACC6571,186317,Islamabad,7,Payment,ATM,0,0
ACC7531,182889,Quetta,6,Deposit,Mobile,0,0
ACC9784,39810,Lahore,8,Deposit,Mobile,0,0
ACC8820,448811,Peshawar,19,Transfer,ATM,1,1
ACC9695,100631,Peshawar,2,Withdrawal,ATM,0,0
ACC8081,49651,Quetta,3,Deposit,Desktop,0,0
ACC7297,153764,Karachi,7,Transfer,ATM,0,0
ACC9987,148226,Peshawar,1,Transfer,Mobile,0,0
ACC1664,594189,Islamabad,39,Withdrawal,ATM,1,1
ACC7976,161813,Karachi,1,Deposit,POS,0,0
ACC4122,166292,Quetta,4,Withdrawal,Desktop,0,0
ACC5525,61056,Lahore,6,Transfer,ATM,0,0
ACC6458,51900,Lahore,8,Withdrawal,ATM,0,0
ACC6709,198303,Peshawar,4,Transfer,ATM,0,0
ACC6869,126066,Peshawar,5,Payment,ATM,0,0
ACC6492,112451,Islamabad,9,Transfer,Mobile,0,0
ACC6489,145675,Lahore,1,Transfer,Mobile,0,0
ACC2461,35615,Peshawar,2,Payment,Mobile,0,0
ACC2261,38438,Karachi,1,Transfer,POS,0,0
ACC7751,188559,Peshawar,8,Transfer,POS,0,0
ACC8925,5353,Peshawar,4,Transfer,POS,0,0
ACC7948,149171,Lahore,3,Transfer,POS,0,0
ACC8819,330595,Quetta,44,Withdrawal,Mobile,1,1
ACC9656,179776,Quetta,2,Withdrawal,POS,0,0
ACC7867,13706,Lahore,8,Payment,ATM,1,0
ACC8320,979583,Lahore,10,Withdrawal,POS,1,1
ACC9512,4073,Islamabad,1,Deposit,POS,0,0
ACC6586,765598,Peshawar,20,Withdrawal,Desktop,1,1
ACC7369,141320,Peshawar,4,Payment,Desktop,0,0
ACC7415,149357,Islamabad,9,Deposit,ATM,0,0
ACC1738,796769,Karachi,41,Withdrawal,ATM,1,1
ACC4323,56354,Islamabad,1,Withdrawal,Desktop,0,0
ACC4072,51782,Karachi,7,Deposit,ATM,0,0
ACC9631,139007,Peshawar,3,Deposit,ATM,1,0
ACC6307,98384,Islamabad,1,Payment,Mobile,0,0
ACC6691,82728,Peshawar,3,Payment,Mobile,0,0
ACC5692,738705,Karachi,15,Payment,Mobile,1,1
ACC4114,106538,Quetta,8,Transfer,Desktop,0,0
ACC9541,160949,Karachi,2,Withdrawal,Mobile,0,0
ACC5508,184549,Quetta,6,Deposit,ATM,0,0
ACC3605,116108,Lahore,2,Withdrawal,ATM,0,0
ACC1099,79152,Peshawar,2,Deposit,POS,0,0
ACC1033,814692,Karachi,37,Transfer,Mobile,0,1
ACC9323,6785,Quetta,8,Withdrawal,ATM,1,0
ACC9674,350827,Peshawar,28,Withdrawal,POS,1,1
ACC8945,3884,Lahore,5,Withdrawal,Desktop,0,0
ACC1155,104002,Quetta,7,Deposit,ATM,1,0
ACC8933,36437,Islamabad,4,Transfer,POS,0,0
ACC1569,167603,Quetta,9,Deposit,Mobile,0,0
ACC3963,102723,Peshawar,6,Withdrawal,POS,0,0
ACC5285,137085,Peshawar,6,Deposit,Mobile,0,0
ACC9730,32092,Karachi,8,Transfer,Desktop,0,0
ACC8125,899235,Quetta,22,Transfer,POS,0,1
ACC2654,925792,Islamabad,30,Transfer,Mobile,0,1
ACC7657,173122,Islamabad,8,Withdrawal,ATM,0,0
ACC2813,121250,Karachi,8,Withdrawal,ATM,0,0
ACC3347,47389,Islamabad,9,Deposit,ATM,0,0
ACC4476,23774,Islamabad,4,Transfer,ATM,0,0
ACC5617,27399,Karachi,7,Deposit,POS,0,0
ACC9932,102258,Karachi,5,Payment,Mobile,0,0
ACC8839,147886,Peshawar,5,Transfer,Mobile,1,0
ACC6112,60582,Quetta,9,Payment,Mobile,0,0
ACC6905,75680,Karachi,5,Withdrawal,POS,0,0
ACC6005,97707,Peshawar,8,Withdrawal,ATM,0,0
ACC3532,24616,Islamabad,3,Deposit,POS,0,0
ACC3654,44349,Lahore,9,Deposit,Desktop,0,0
ACC5515,36288,Islamabad,8,Transfer,Desktop,0,0
ACC7622,155849,Karachi,2,Deposit,POS,0,0
ACC6661,29474,Karachi,5,Deposit,ATM,0,0
ACC4084,75931,Lahore,3,Transfer,POS,0,0
ACC1875,57817,Lahore,7,Transfer,Mobile,0,0
ACC5332,120880,Lahore,6,Withdrawal,POS,0,0
ACC2149,94156,Karachi,6,Withdrawal,Mobile,0,0
ACC2778,11309,Peshawar,4,Deposit,Desktop,0,0
ACC4888,189055,Lahore,4,Payment,Desktop,0,0
ACC2668,126498,Karachi,6,Deposit,Mobile,0,0
ACC3921,105747,Lahore,4,Transfer,ATM,0,0
ACC1925,163526,Karachi,8,Payment,Desktop,0,0
ACC1744,112839,Islamabad,2,Transfer,ATM,0,0
ACC7691,95104,Peshawar,9,Payment,Desktop,0,0
ACC7530,364322,Lahore,16,Transfer,Mobile,0,1
ACC9395,113536,Islamabad,4,Withdrawal,Mobile,0,0
ACC3278,10447,Karachi,5,Deposit,Desktop,0,0
ACC8493,122068,Quetta,9,Withdrawal,Mobile,0,0
ACC2549,186539,Peshawar,4,Deposit,Mobile,0,0
ACC8194,32367,Lahore,7,Withdrawal,POS,0,0
ACC9778,133090,Karachi,2,Payment,Desktop,0,0
ACC5214,119074,Karachi,4,Withdrawal,POS,0,0
ACC6386,170019,Lahore,6,Deposit,ATM,0,0
ACC6855,29445,Karachi,1,Withdrawal,Mobile,0,0
ACC2236,147069,Lahore,8,Transfer,Mobile,0,0
ACC9025,83808,Peshawar,3,Withdrawal,ATM,1,0
ACC2173,30523,Lahore,7,Transfer,POS,1,0
ACC3901,303029,Peshawar,20,Transfer,POS,0,1
ACC7475,55560,Islamabad,5,Transfer,Mobile,0,0
ACC8518,100069,Peshawar,5,Withdrawal,POS,0,0
ACC1260,102437,Islamabad,8,Withdrawal,POS,0,0
ACC9717,31552,Islamabad,8,Deposit,Desktop,0,0
ACC2350,164489,Quetta,3,Withdrawal,ATM,0,0
ACC3631,338375,Islamabad,47,Withdrawal,Mobile,0,1
ACC9330,79178,Islamabad,1,Transfer,ATM,0,0
ACC4246,132133,Peshawar,3,Payment,ATM,0,0
ACC9940,136593,Karachi,4,Withdrawal,POS,0,0
ACC7998,674089,Karachi,23,Payment,Desktop,0,1
ACC8163,136456,Quetta,9,Transfer,Desktop,0,0
ACC6916,7708,Peshawar,4,Payment,ATM,0,0
ACC2972,199882,Quetta,2,Withdrawal,ATM,0,0
ACC9818,8948,Islamabad,2,Transfer,ATM,0,0
ACC2355,153803,Islamabad,5,Deposit,Mobile,0,0
ACC2651,6177,Lahore,5,Withdrawal,ATM,0,0
ACC5968,10429,Peshawar,4,Withdrawal,Desktop,0,0
ACC5614,114671,Karachi,3,Deposit,POS,0,0
ACC5640,191846,Peshawar,9,Transfer,POS,0,0
ACC3883,139114,Peshawar,3,Withdrawal,Desktop,0,0
ACC9818,64000,Lahore,6,Transfer,Mobile,0,0
ACC1395,24114,Lahore,8,Payment,ATM,0,0
ACC7478,543878,Islamabad,16,Transfer,Mobile,1,1
ACC5990,87435,Islamabad,6,Payment,POS,0,0
ACC3846,144532,Peshawar,4,Deposit,Mobile,0,0
ACC1503,37792,Lahore,7,Deposit,Mobile,1,0
ACC6971,191580,Islamabad,7,Deposit,ATM,0,0
ACC7968,81025,Karachi,4,Transfer,ATM,0,0
ACC6361,361529,Quetta,14,Payment,Mobile,0,1
ACC3187,81374,Islamabad,1,Withdrawal,ATM,1,0
ACC3384,157636,Islamabad,1,Payment,ATM,0,0
ACC1142,19359,Lahore,7,Payment,Mobile,0,0
ACC9838,193386,Islamabad,4,Transfer,Desktop,0,0
ACC3733,186489,Quetta,6,Transfer,Desktop,0,0
ACC4949,168648,Karachi,2,Withdrawal,ATM,0,0
ACC1834,97909,Lahore,5,Payment,ATM,0,0
ACC8238,144322,Quetta,6,Deposit,POS,0,0
ACC4870,38668,Peshawar,7,Payment,Desktop,0,0
ACC1763,167639,Peshawar,6,Deposit,Mobile,0,0
ACC1099,934518,Lahore,32,Withdrawal,POS,1,1
ACC5168,94011,Islamabad,4,Payment,ATM,0,0
ACC1643,63419,Peshawar,1,Deposit,Desktop,0,0
ACC8568,129431,Islamabad,2,Transfer,Desktop,0,0
ACC8155,89803,Quetta,4,Deposit,ATM,0,0
ACC9915,77626,Peshawar,2,Deposit,POS,0,0
ACC3854,595116,Karachi,33,Withdrawal,Mobile,1,1
ACC1324,70893,Quetta,2,Deposit,Desktop,0,0
ACC4414,32917,Peshawar,1,Payment,POS,0,0
ACC4297,40869,Lahore,1,Withdrawal,ATM,0,0
ACC6411,79875,Lahore,3,Deposit,ATM,0,0
ACC3473,138685,Karachi,6,Withdrawal,Desktop,0,0
ACC9576,76564,Peshawar,4,Deposit,POS,0,0
ACC6635,135041,Lahore,6,Payment,ATM,0,0
ACC4945,165455,Lahore,2,Transfer,Desktop,0,0
ACC1213,154098,Karachi,9,Withdrawal,Desktop,0,0
ACC8602,388731,Quetta,19,Deposit,POS,1,1
ACC3580,681273,Quetta,26,Transfer,POS,0,1
ACC2867,98430,Karachi,8,Transfer,Mobile,0,0
ACC1467,19652,Lahore,4,Withdrawal,ATM,1,0
ACC2008,82677,Quetta,4,Withdrawal,Mobile,0,0
ACC4822,15283,Karachi,1,Payment,Mobile,0,0
ACC7705,103798,Quetta,1,Withdrawal,Desktop,0,0
ACC2905,170028,Karachi,1,Transfer,ATM,0,0
ACC4725,138737,Quetta,2,Withdrawal,POS,0,0
ACC8777,111563,Lahore,8,Transfer,POS,0,0
ACC4043,83117,Quetta,4,Transfer,POS,0,0
ACC1268,142063,Lahore,1,Transfer,POS,0,0
ACC4804,190867,Karachi,3,Deposit,POS,0,0
ACC9986,20886,Lahore,7,Payment,Mobile,0,0
ACC4774,807420,Lahore,11,Payment,Mobile,1,1
ACC8764,111829,Peshawar,7,Transfer,POS,0,0
ACC2839,113039,Islamabad,5,Payment,ATM,0,0
ACC6863,138173,Islamabad,8,Withdrawal,ATM,0,0
ACC4153,13745,Karachi,5,Withdrawal,ATM,0,0
ACC9211,28949,Karachi,6,Payment,Mobile,0,0
ACC1524,132921,Lahore,7,Payment,POS,0,0
ACC6226,80348,Karachi,1,Payment,Desktop,1,0
ACC9321,159705,Karachi,5,Transfer,Mobile,0,0
ACC8560,889252,Peshawar,43,Withdrawal,Desktop,1,1
ACC7621,59006,Quetta,2,Withdrawal,POS,0,0
ACC1646,184931,Lahore,3,Withdrawal,Mobile,0,0
ACC2262,116407,Karachi,6,Withdrawal,ATM,0,0
ACC5405,124670,Lahore,4,Deposit,Mobile,0,0
ACC1360,42520,Peshawar,1,Payment,POS,0,0
ACC1949,38549,Karachi,2,Payment,Desktop,0,0
ACC3300,99359,Karachi,2,Deposit,ATM,0,0
ACC7693,553883,Quetta,18,Withdrawal,ATM,0,1
ACC4179,846305,Quetta,23,Transfer,POS,1,1
ACC4767,191860,Lahore,6,Withdrawal,ATM,0,0
ACC7603,19528,Karachi,2,Payment,POS,0,0
ACC4735,27038,Karachi,7,Payment,ATM,0,0
ACC5714,87923,Lahore,9,Withdrawal,POS,1,0
ACC6609,179866,Karachi,6,Payment,Mobile,1,0
ACC2208,48073,Lahore,2,Withdrawal,ATM,0,0
ACC2320,36419,Peshawar,6,Payment,Desktop,0,0
ACC3861,158661,Peshawar,9,Withdrawal,Desktop,1,0
ACC8808,92983,Lahore,8,Withdrawal,Desktop,0,0
ACC9758,100618,Islamabad,3,Deposit,Mobile,0,0
ACC2321,87241,Peshawar,3,Transfer,Mobile,0,0
ACC8343,152225,Peshawar,4,Withdrawal,ATM,0,0
ACC7363,177902,Karachi,9,Payment,Mobile,0,0
ACC6695,158258,Islamabad,2,Transfer,POS,0,0
ACC7291,106629,Islamabad,2,Deposit,POS,0,0
ACC6576,57688,Karachi,1,Deposit,POS,0,0
ACC7767,904734,Islamabad,18,Transfer,Desktop,1,1
ACC6660,160422,Peshawar,3,Transfer,Desktop,0,0
ACC1815,71296,Islamabad,7,Deposit,ATM,0,0
ACC8238,166310,Lahore,7,Withdrawal,Desktop,0,0
ACC7945,145222,Peshawar,9,Withdrawal,Mobile,0,0
ACC2398,44778,Lahore,9,Withdrawal,Mobile,0,0
ACC6977,177767,Quetta,6,Deposit,Desktop,0,0
ACC9719,333673,Peshawar,16,Transfer,POS,1,1
ACC4089,899112,Karachi,41,Transfer,Mobile,1,1
ACC4257,162610,Karachi,7,Transfer,ATM,1,0
ACC6144,144962,Peshawar,2,Withdrawal,POS,0,0
ACC7950,54709,Karachi,4,Payment,ATM,0,0
ACC4284,198135,Peshawar,8,Payment,ATM,0,0
ACC7685,130171,Karachi,4,Deposit,Mobile,0,0
ACC5589,95428,Islamabad,7,Transfer,Mobile,0,0
ACC9294,632676,Lahore,25,Transfer,Mobile,1,1
ACC2092,185016,Islamabad,3,Payment,Desktop,1,0
ACC5766,70849,Islamabad,3,Withdrawal,Desktop,0,0
ACC3334,54119,Karachi,4,Deposit,Mobile,0,0
ACC2827,5116,Quetta,3,Payment,Desktop,1,0
ACC6262,829781,Islamabad,23,Withdrawal,Mobile,1,1
ACC1666,103656,Quetta,3,Withdrawal,POS,0,0
ACC6647,456210,Karachi,30,Transfer,Mobile,1,1
ACC9735,74524,Peshawar,2,Payment,Mobile,1,0
ACC2247,1868,Lahore,6,Transfer,ATM,0,0
ACC2701,48126,Quetta,2,Payment,ATM,0,0
ACC9722,62097,Lahore,3,Deposit,Mobile,0,0
ACC6151,154806,Karachi,3,Transfer,Desktop,0,0
ACC3341,49292,Karachi,8,Payment,Desktop,0,0
ACC5084,120821,Peshawar,6,Payment,Desktop,0,0
ACC9205,15049,Quetta,6,Withdrawal,Desktop,0,0
ACC2724,855745,Quetta,20,Withdrawal,ATM,1,1
ACC3809,65318,Islamabad,5,Transfer,ATM,0,0
ACC1161,63203,Peshawar,6,Deposit,Mobile,0,0
ACC8763,179089,Peshawar,3,Deposit,POS,1,0
ACC5033,101132,Islamabad,5,Deposit,POS,0,0
ACC3093,84296,Quetta,8,Transfer,Mobile,0,0
ACC9820,111959,Islamabad,9,Transfer,Mobile,0,0
ACC8030,180595,Karachi,5,Payment,POS,0,0
ACC5540,150861,Peshawar,7,Payment,Desktop,0,0
ACC9134,169519,Lahore,9,Transfer,ATM,0,0
ACC9835,82657,Karachi,9,Deposit,Desktop,0,0
ACC2133,948064,Lahore,22,Transfer,Desktop,1,1
ACC2847,143818,Islamabad,7,Deposit,Mobile,0,0
ACC1040,160103,Lahore,9,Transfer,Desktop,1,0
ACC2385,27376,Peshawar,8,Payment,POS,0,0
ACC1155,31957,Islamabad,8,Deposit,ATM,0,0
ACC7016,126707,Peshawar,8,Withdrawal,ATM,0,0
ACC2770,468784,Peshawar,29,Transfer,Mobile,1,1
ACC6391,183013,Lahore,1,Withdrawal,POS,0,0
ACC2780,134724,Quetta,2,Deposit,ATM,0,0
ACC3320,56837,Islamabad,8,Deposit,ATM,0,0
ACC8221,131982,Peshawar,7,Withdrawal,Mobile,1,0
ACC1543,94122,Karachi,2,Payment,Desktop,0,0
ACC9383,150468,Quetta,9,Transfer,ATM,0,0
ACC8267,120036,Islamabad,1,Payment,Mobile,1,0
ACC4231,816948,Quetta,10,Withdrawal,Mobile,1,1
ACC2693,199509,Islamabad,1,Payment,Mobile,0,0
ACC8288,175402,Karachi,5,Transfer,ATM,0,0
ACC5797,197639,Lahore,3,Withdrawal,Mobile,0,0
ACC6385,3416,Islamabad,6,Transfer,ATM,0,0
ACC9896,135527,Quetta,4,Payment,Mobile,0,0
ACC7894,42891,Peshawar,6,Withdrawal,POS,0,0
ACC4916,11339,Islamabad,2,Deposit,POS,0,0
ACC6750,199256,Islamabad,4,Transfer,Mobile,0,0
ACC3244,157551,Karachi,1,Transfer,Desktop,1,0
ACC9571,195311,Islamabad,2,Withdrawal,Desktop,0,0
ACC4556,134698,Quetta,8,Deposit,ATM,0,0
ACC4621,14532,Islamabad,9,Withdrawal,POS,0,0
ACC7437,14758,Karachi,5,Transfer,ATM,1,0
ACC9628,165660,Islamabad,7,Transfer,ATM,0,0
ACC8862,349611,Peshawar,23,Withdrawal,Mobile,1,1
ACC7597,124737,Islamabad,2,Payment,Desktop,0,0
ACC2522,197391,Peshawar,5,Payment,Mobile,0,0
ACC3174,18599,Quetta,7,Transfer,ATM,0,0
ACC2594,61364,Karachi,3,Payment,ATM,0,0
ACC9445,189290,Lahore,5,Transfer,Desktop,1,0
ACC7533,193879,Quetta,6,Withdrawal,Mobile,1,0
ACC6139,171442,Peshawar,1,Deposit,ATM,0,0
ACC6944,4349,Peshawar,3,Deposit,POS,0,0
ACC4006,40478,Islamabad,6,Payment,Mobile,0,0
ACC8089,535967,Quetta,16,Withdrawal,POS,1,1
ACC9307,51545,Peshawar,6,Deposit,Mobile,0,0
ACC9882,344125,Islamabad,40,Transfer,ATM,0,1
ACC2097,190899,Quetta,8,Deposit,ATM,0,0
ACC3116,63218,Lahore,5,Deposit,Mobile,0,0
ACC8978,137683,Islamabad,1,Payment,POS,0,0
ACC3525,25750,Lahore,2,Transfer,POS,1,0
ACC4540,856729,Lahore,27,Payment,POS,0,1
ACC6934,68465,Lahore,7,Withdrawal,Desktop,0,0
ACC9668,36208,Islamabad,8,Transfer,POS,0,0
ACC8557,178149,Karachi,1,Payment,POS,0,0
ACC2016,24512,Quetta,1,Transfer,Mobile,1,0
ACC9731,915693,Peshawar,33,Withdrawal,ATM,1,1
ACC6655,145804,Lahore,8,Payment,Mobile,0,0
ACC5225,9449,Quetta,2,Deposit,Desktop,0,0
ACC8207,57758,Quetta,8,Withdrawal,Desktop,0,0
ACC6864,114531,Peshawar,3,Payment,Desktop,1,0
ACC1819,166839,Quetta,5,Withdrawal,Mobile,0,0
ACC2707,186080,Peshawar,1,Deposit,Desktop,0,0
ACC5892,64027,Karachi,8,Withdrawal,POS,0,0
ACC8743,60293,Peshawar,2,Payment,POS,0,0
ACC5200,182582,Peshawar,6,Withdrawal,Desktop,0,0
ACC8583,31360,Quetta,6,Withdrawal,ATM,0,0
ACC7174,110174,Karachi,8,Transfer,Mobile,1,0
ACC7799,175815,Lahore,9,Deposit,ATM,0,0
ACC5174,72621,Quetta,2,Transfer,POS,1,0
ACC9575,17028,Islamabad,4,Deposit,POS,1,0
ACC4675,28606,Peshawar,2,Deposit,Mobile,1,0
ACC8911,124409,Quetta,4,Transfer,Desktop,0,0
ACC8479,99761,Quetta,6,Transfer,Desktop,0,0
ACC6066,157363,Karachi,1,Payment,ATM,0,0
ACC4049,50684,Karachi,6,Payment,Desktop,0,0
ACC8307,86840,Karachi,1,Transfer,ATM,0,0
ACC9314,66428,Lahore,5,Withdrawal,POS,0,0
ACC4530,199647,Lahore,9,Payment,ATM,0,0
ACC2568,166597,Lahore,4,Transfer,Mobile,0,0
ACC4742,138332,Lahore,8,Withdrawal,ATM,0,0
ACC7345,193984,Karachi,2,Payment,Desktop,0,0
ACC7739,816557,Islamabad,35,Transfer,POS,1,1
ACC3711,57312,Peshawar,1,Deposit,ATM,1,0
ACC2704,97392,Lahore,7,Deposit,ATM,1,0
ACC3750,55438,Peshawar,8,Transfer,POS,0,0
ACC9687,89912,Lahore,8,Withdrawal,Desktop,0,0
ACC1550,161377,Islamabad,1,Withdrawal,POS,0,0
ACC4118,35820,Lahore,9,Deposit,ATM,0,0
ACC2587,113457,Lahore,6,Withdrawal,Desktop,0,0
ACC2844,778104,Peshawar,18,Withdrawal,Desktop,1,1
ACC6781,180155,Lahore,7,Withdrawal,Desktop,0,0
ACC3874,109235,Karachi,5,Payment,Mobile,1,0
ACC8820,669906,Karachi,32,Transfer,Desktop,0,1
ACC5862,61920,Quetta,7,Deposit,Mobile,0,0
ACC9380,77285,Quetta,9,Transfer,Mobile,0,0
ACC1007,524558,Peshawar,46,Withdrawal,Mobile,1,1
ACC6429,160670,Lahore,6,Payment,POS,1,0
ACC5107,199531,Lahore,8,Deposit,Desktop,0,0
ACC9526,120107,Islamabad,3,Deposit,ATM,0,0
ACC9538,149310,Peshawar,8,Withdrawal,Mobile,0,0
ACC3655,83319,Peshawar,6,Transfer,ATM,0,0
ACC2722,67622,Lahore,1,Payment,Mobile,0,0
ACC2451,96992,Islamabad,3,Withdrawal,Mobile,0,0
ACC2337,36800,Karachi,7,Transfer,POS,0,0
ACC1005,26815,Islamabad,9,Deposit,Desktop,0,0
ACC9461,37836,Karachi,9,Transfer,POS,0,0
ACC4227,162689,Lahore,7,Transfer,ATM,1,0
ACC7579,13080,Peshawar,4,Withdrawal,POS,0,0
ACC5565,176499,Peshawar,4,Withdrawal,POS,1,0
ACC2406,38388,Islamabad,8,Payment,POS,1,0
ACC1237,27386,Peshawar,2,Deposit,Mobile,0,0
ACC3827,917121,Islamabad,34,Payment,POS,1,1
ACC5101,175377,Lahore,8,Transfer,Desktop,0,0
ACC4486,52217,Islamabad,5,Deposit,POS,0,0
ACC8440,164501,Peshawar,9,Transfer,POS,0,0
ACC9648,198211,Peshawar,1,Deposit,Mobile,0,0
ACC4807,704697,Islamabad,46,Withdrawal,ATM,0,1
ACC6880,191216,Peshawar,5,Withdrawal,POS,1,0
ACC9540,706157,Lahore,36,Transfer,Mobile,0,1
ACC4993,60607,Karachi,5,Withdrawal,POS,0,0
ACC9589,47462,Lahore,6,Payment,ATM,0,0
ACC2519,9835,Karachi,1,Deposit,Desktop,1,0
ACC4833,12632,Quetta,3,Withdrawal,ATM,0,0
ACC7159,123672,Islamabad,1,Payment,Desktop,0,0
ACC5863,113882,Quetta,1,Transfer,ATM,1,0
ACC3436,199115,Lahore,9,Payment,Desktop,0,0
ACC1369,76666,Islamabad,4,Payment,Mobile,1,0
ACC6687,84262,Islamabad,8,Withdrawal,ATM,0,0
